Drill Listing
=============
Drill: .01969  Tool: 1  Feed: 95  Speed: 300
X 218110  Y 162992
X 192913  Y 211023
X 249606  Y 230708
X 257480  Y 222047
X 276377  Y 203937
X 278740  Y 199212
X 262992  Y 147244
X 297637  Y 162204
X 297637  Y 188976
X 290551  Y 199212
X 468503  Y 234645
X 463779  Y 222047
X 456692  Y 214960
X 456692  Y 200787
X 463779  Y 168503
X 468503  Y 161417
X 490551  Y 143307
X 490551  Y 150393
X 486614  Y 179527
X 499212  Y 183464
X 503149  Y 190551
X 499212  Y 237007
X 490551  Y 243307
X 490551  Y 253543
X 570866  Y 194488
X 508661  Y 103149
X 730708  Y 169291
X 730708  Y 222834
X 762204  Y 251968
X 762204  Y 243307
X 769291  Y 239370
X 734645  Y 235433
X 774015  Y 190551
X 769291  Y 184251
X 758267  Y 180314
X 734645  Y 159842
X 762204  Y 144881
X 762204  Y 137007
X 777952  Y 103149
X 1005511  Y 159842
X 1000787  Y 168503
X 1000787  Y 222834
X 1005511  Y 234645
X 1032283  Y 252755
X 1032283  Y 245669
X 1039370  Y 238582
X 1039370  Y 190551
X 1039370  Y 183464
X 1028346  Y 171653
X 1032283  Y 144094
X 1032283  Y 137007
X 1047244  Y 103149
X 1299212  Y 185039
X 1320472  Y 194488
Drill: .03  Tool: 2  Feed: 197  Speed: 550
X 190011  Y 250500
X 161799  Y 254500
X 181799  Y 254500
X 190011  Y 270500
X 223358  Y 215248
X 243358  Y 215248
X 394066  Y 145275
X 361102  Y 247062
X 341102  Y 247062
X 414066  Y 145275
X 665905  Y 142625
X 630314  Y 246456
X 610314  Y 246456
X 685905  Y 142625
X 953807  Y 143413
X 933807  Y 143413
X 880866  Y 245799
X 900866  Y 245799
X 1151287  Y 246374
X 1204409  Y 144799
X 1224409  Y 144799
X 1171287  Y 246374
Drill: .03543  Tool: 3  Feed: 197  Speed: 550
X 109212  Y 115000
X 119212  Y 115000
X 129212  Y 115000
X 109212  Y 125000
X 119212  Y 125000
X 129212  Y 125000
X 126937  Y 195000
X 126937  Y 205000
X 116937  Y 205000
X 126937  Y 215000
X 115724  Y 221838
X 106177  Y 221838
X 115724  Y 261838
X 106177  Y 261838
X 156224  Y 235161
X 156224  Y 225161
X 149212  Y 125000
X 139212  Y 125000
X 159212  Y 125000
X 169212  Y 125000
X 179212  Y 125000
X 139212  Y 115000
X 169212  Y 115000
X 149212  Y 115000
X 179212  Y 115000
X 159212  Y 115000
X 189212  Y 115000
X 199212  Y 115000
X 189212  Y 125000
X 199212  Y 125000
X 196937  Y 145000
X 186937  Y 155000
X 196937  Y 165000
X 196937  Y 179000
X 186937  Y 189000
X 196937  Y 199000
X 198437  Y 225161
X 198437  Y 235161
X 202937  Y 271259
X 212937  Y 271259
X 223500  Y 271259
X 223500  Y 231259
X 211968  Y 200574
X 211968  Y 184685
X 212598  Y 169578
X 212598  Y 155228
X 209212  Y 125000
X 219212  Y 125000
X 229212  Y 125000
X 209212  Y 115000
X 229212  Y 115000
X 219212  Y 115000
X 252598  Y 155228
X 272728  Y 160917
X 252598  Y 169578
X 272728  Y 170917
X 251968  Y 184685
X 251968  Y 200574
X 235218  Y 231259
X 235218  Y 271259
X 300708  Y 235826
X 330708  Y 235826
X 320708  Y 235826
X 310708  Y 235826
X 320708  Y 205826
X 330708  Y 205826
X 300708  Y 205826
X 310708  Y 205826
X 324409  Y 185118
